Voltage,Ripple,Current,Throttle,Power,RPM,Temp,BEC Voltage,BEC Current,Raw NTC,E.Stop,Raw Linear,Packet In,Check Bad,Packet Out,Packet Bad,Fail Safe,Link Live
"['Voltage', 8.922624877571009]","['Ripple', 0.0]","['Current', 0.0]","['Throttle', 1.070519098922625]","['Power', 0.04508991185112634]","['RPM', 29985.094681684626]","['Temp', 25.386875612144955]","['BEC Voltage', 0.0]","['BEC Current', 0.0]","['Raw NTC', 126.0625]","['E.Stop', [255, 255, 2]]","['Raw Linear', 962.8060724779629]","['Packet In', [255, 255, 2]]","['Check Bad', [255, 255, 2]]","['Packet Out', [255, 255, 2]]","['Packet Bad', [255, 255, 2]]","['Fail Safe', [255, 255, 2]]","['Link Live', [255, 255, 2]]"
"['Voltage', 8.932419196865817]","['Ripple', 0.14691478942213515]","['Current', 0.0]","['Throttle', 1.070519098922625]","['Power', 0.045212438785504405]","['RPM', 30105.075053868753]","['Temp', 25.386875612144955]","['BEC Voltage', 0.0]","['BEC Current', 0.0]","['Raw NTC', 119.96875]","['E.Stop', [255, 255, 2]]","['Raw Linear', 962.8060724779629]","['Packet In', [255, 255, 2]]","['Check Bad', [255, 255, 2]]","['Packet Out', [255, 255, 2]]","['Packet Bad', [255, 255, 2]]","['Fail Safe', [255, 255, 2]]","['Link Live', [255, 255, 2]]"
"['Voltage', 8.922624877571009]","['Ripple', 0.14887365328109697]","['Current', 0.0]","['Throttle', 1.0700293829578844]","['Power', 0.04508991185112634]","['RPM', 29785.127394711068]","['Temp', 27.267384916748288]","['BEC Voltage', 0.0]","['BEC Current', 0.0]","['Raw NTC', 123.125]","['E.Stop', [255, 255, 2]]","['Raw Linear', 962.8060724779629]","['Packet In', [255, 255, 2]]","['Check Bad', [255, 255, 2]]","['Packet Out', [255, 255, 2]]","['Packet Bad', [255, 255, 2]]","['Fail Safe', [255, 255, 2]]","['Link Live', [255, 255, 2]]"
