Voltage,Ripple,Current,Throttle,Power,RPM,Temp,BEC Voltage,BEC Current,Raw NTC,E.Stop,Raw Linear,Packet In,Check Bad,Packet Out,Packet Bad,Fail Safe,Link Live
"['Voltage', 8.932419196865817]","['Ripple', 0.0]","['Current', 0.0]","['Throttle', 1.0714985308521057]","['Power', 0.04508991185112634]","['RPM', 30035.08650342801]","['Temp', 26.32713026444662]","['BEC Voltage', 0.0]","['BEC Current', 0.0]","['Raw NTC', 121.1875]","['E.Stop', [255, 255, 2]]","['Raw Linear', 962.8060724779629]","['Packet In', [255, 255, 2]]","['Check Bad', [255, 255, 2]]","['Packet Out', [255, 255, 2]]","['Packet Bad', [255, 255, 2]]","['Fail Safe', [255, 255, 2]]","['Link Live', [255, 255, 2]]"
"['Voltage', 8.922624877571009]","['Ripple', 0.14691478942213515]","['Current', 0.0]","['Throttle', 1.0714985308521057]","['Power', 0.04508991185112634]","['RPM', 30355.0341625857]","['Temp', 28.207639569049952]","['BEC Voltage', 0.0]","['BEC Current', 0.0]","['Raw NTC', 120.0625]","['E.Stop', [255, 255, 2]]","['Raw Linear', 962.8060724779629]","['Packet In', [255, 255, 2]]","['Check Bad', [255, 255, 2]]","['Packet Out', [255, 255, 2]]","['Packet Bad', [255, 255, 2]]","['Fail Safe', [255, 255, 2]]","['Link Live', [255, 255, 2]]"
"['Voltage', 8.922624877571009]","['Ripple', 0.14691478942213515]","['Current', 0.0]","['Throttle', 1.070519098922625]","['Power', 0.04508991185112634]","['RPM', 30125.071782566112]","['Temp', 27.267384916748288]","['BEC Voltage', 0.0]","['BEC Current', 0.0019588638589618022]","['Raw NTC', 120.0625]","['E.Stop', [255, 255, 2]]","['Raw Linear', 962.8060724779629]","['Packet In', [255, 255, 2]]","['Check Bad', [255, 255, 2]]","['Packet Out', [255, 255, 2]]","['Packet Bad', [255, 255, 2]]","['Fail Safe', [255, 255, 2]]","['Link Live', [255, 255, 2]]"
