Voltage,Ripple,Current,Throttle,Power,RPM,Temp,BEC Voltage,BEC Current,Raw NTC,E.Stop,Raw Linear,Packet In,Check Bad,Packet Out,Packet Bad,Fail Safe,Link Live
"['Voltage', 12.037218413320275]","['Ripple', 0.14887365328109697]","['Current', 0.0]","['Throttle', 1.0680705190989226]","['Power', 0.04104652301665034]","['RPM', 47122.291175318314]","['Temp', 24.44662095984329]","['BEC Voltage', 0.0019588638589618022]","['BEC Current', 0.0]","['Raw NTC', 126.0]","['E.Stop', [255, 255, 2]]","['Raw Linear', 962.8060724779629]","['Packet In', [255, 255, 2]]","['Check Bad', [255, 255, 2]]","['Packet Out', [255, 255, 2]]","['Packet Bad', [255, 255, 2]]","['Fail Safe', [255, 255, 2]]","['Link Live', [255, 255, 2]]"
"['Voltage', 12.056807051909892]","['Ripple', 0.0019588638589618022]","['Current', 0.0]","['Throttle', 1.0685602350636632]","['Power', 0.041169049951028394]","['RPM', 46842.336973555335]","['Temp', 24.44662095984329]","['BEC Voltage', 0.0]","['BEC Current', 0.0]","['Raw NTC', 126.03125]","['E.Stop', [255, 255, 2]]","['Raw Linear', 962.8060724779629]","['Packet In', [255, 255, 2]]","['Check Bad', [255, 255, 2]]","['Packet Out', [255, 255, 2]]","['Packet Bad', [255, 255, 2]]","['Fail Safe', [255, 255, 2]]","['Link Live', [255, 255, 2]]"
"['Voltage', 12.047012732615084]","['Ripple', 0.15083251714005877]","['Current', 0.0]","['Throttle', 1.0685602350636632]","['Power', 0.042149265426052886]","['RPM', 47162.28463271303]","['Temp', 24.44662095984329]","['BEC Voltage', 0.0]","['BEC Current', 0.0]","['Raw NTC', 126.03125]","['E.Stop', [127, 255, 127]]","['Raw Linear', 962.8060724779629]","['Packet In', [255, 255, 2]]","['Check Bad', [255, 255, 2]]","['Packet Out', [255, 255, 2]]","['Packet Bad', [255, 255, 2]]","['Fail Safe', [255, 255, 2]]","['Link Live', [255, 255, 2]]"
