Voltage,Ripple,Current,Throttle,Power,RPM,Temp,BEC Voltage,BEC Current,Raw NTC,E.Stop,Raw Linear,Packet In,Check Bad,Packet Out,Packet Bad,Fail Safe,Link Live
"['Voltage', 8.932419196865817]","['Ripple', 0.14887365328109697]","['Current', 0.0]","['Throttle', 1.0714985308521057]","['Power', 0.04508991185112634]","['RPM', 29325.20263467189]","['Temp', 24.44662095984329]","['BEC Voltage', 0.0]","['BEC Current', 0.0019588638589618022]","['Raw NTC', 125.96875]","['E.Stop', [255, 255, 2]]","['Raw Linear', 962.8060724779629]","['Packet In', [255, 255, 2]]","['Check Bad', [255, 255, 2]]","['Packet Out', [255, 255, 2]]","['Packet Bad', [255, 255, 2]]","['Fail Safe', [255, 255, 2]]","['Link Live', [255, 255, 2]]"
"['Voltage', 8.922624877571009]","['Ripple', 0.0]","['Current', 0.0]","['Throttle', 1.070519098922625]","['Power', 0.043987169441723796]","['RPM', 29345.199363369244]","['Temp', 24.44662095984329]","['BEC Voltage', 0.0]","['BEC Current', 0.0]","['Raw NTC', 126.15625]","['E.Stop', [255, 255, 2]]","['Raw Linear', 962.8060724779629]","['Packet In', [255, 255, 2]]","['Check Bad', [255, 255, 2]]","['Packet Out', [255, 255, 2]]","['Packet Bad', [255, 255, 2]]","['Fail Safe', [255, 255, 2]]","['Link Live', [255, 255, 2]]"
